#{"t_start": 1771773700.512724, "env_id": "None"}
r,l,t
135.85826,34,7958.893254
-150.496215,44,7968.024401
-98.643759,49,7979.560778
150.814707,52,7988.11948
131.447533,34,7995.288064
-106.443311,79,8007.104095
143.108511,39,8015.016103
-182.98506,60,8035.166048
-161.658638,41,8042.532076
-170.526438,23,8047.023296
-130.587222,83,8062.688692
-127.692928,29,8068.601004
132.441463,38,8075.691687
-165.634062,15,8078.269415
133.771022,44,8086.640897
-126.273301,44,8095.283351
138.845796,38,8103.46111
-111.668044,115,8133.917536
128.310836,83,8150.08323
134.956957,34,8156.018356
-148.827283,27,8160.974987
-100.715099,110,8182.413873
-129.584372,36,8190.662452
-146.294663,21,8194.128545
-122.81168,289,8252.948617
166.461696,181,8285.473932
132.91499,43,8294.328188
-132.017276,29,8299.134233
167.729902,130,8323.342976
159.693957,56,8333.930693
-125.674259,50,8343.34646
-147.49512,27,8350.229984
-129.133641,24,8354.306375
-128.308364,33,8360.190086
146.073282,51,8370.192797
144.643415,43,8378.035612
150.95273,43,8387.175067
-128.683614,44,8399.579901
-156.431011,69,8417.121026
-144.810635,20,8421.11209
-139.307764,36,8431.279477
167.267151,55,8441.296949
173.352431,75,8456.185491
133.303257,36,8464.158434
136.012997,35,8470.094832
-121.883436,40,8476.292845
-131.72133,37,8483.375673
187.66304,204,8522.611151
-154.28141,60,8534.107091
-152.028719,143,8556.747456
146.595222,49,8567.105716
161.967113,101,8587.046019
-142.092443,145,8613.619896
141.403147,39,8620.820487
-160.163909,62,8632.724757
139.717144,41,8640.216709
126.153809,37,8647.019314
-153.453312,49,8655.339772
126.897591,245,8693.591409
143.195449,65,8707.667706
145.150351,50,8717.747748
-123.597823,45,8725.571223
158.255521,75,8738.355586
-124.777244,32,8744.396874
144.295884,41,8752.770761
149.454145,97,8771.510344
156.176261,53,8782.044106
134.006163,37,8788.893027
-124.15091,33,8796.339602
-157.189054,31,8804.607115
156.459813,117,8826.652067
139.463526,37,8833.466071
131.392296,33,8839.799725
157.959605,64,8853.301244
-150.294149,33,8862.467353
185.539549,187,8898.043671
-114.646004,116,8920.627011
153.585812,52,8930.397164
142.409418,37,8937.801706
-95.658016,54,8948.839619
-152.530518,18,8953.331278
148.559731,51,8963.43487
-174.29709,97,8982.102001
139.129727,37,8989.195637
-162.034302,26,8993.365452
135.757293,53,9003.757404
-141.519054,36,9012.698883
137.972003,51,9022.280858
-134.903636,88,9034.87356
-175.836335,143,9061.665413
172.140636,61,9074.364443
137.407117,50,9084.08696
139.451431,42,9093.087305
130.865461,31,9099.769238
166.813006,56,9111.318418
165.249339,59,9121.976156
-158.997477,90,9137.305384
-134.54862,45,9144.726959
137.982281,45,9152.432594
141.59475,50,9163.937064
-96.339621,63,9186.61078
-139.257091,18,9189.538513
-166.315919,29,9194.508242
141.234797,38,9200.341059
144.620569,43,9208.874674
-145.443829,87,9225.267329
-154.55397,64,9238.075823
-79.357383,177,9268.45406
145.91546,40,9275.98251
146.353384,71,9289.17977
165.248221,61,9300.827159
153.599794,49,9310.112211
-137.677402,39,9323.647049
-130.523664,38,9332.52423
167.966814,59,9343.264024
-117.975226,50,9352.452188
156.704527,54,9363.251375
151.33283,63,9374.678207
-120.898633,49,9389.603058
-130.380949,78,9407.333548
131.472596,37,9414.557968
183.418567,125,9441.534417
137.041307,35,9448.544528
144.278883,43,9455.598084
-125.871173,129,9478.845233
139.755738,37,9485.93276
141.722147,60,9498.043636
139.622185,102,9509.216988
-145.929701,45,9514.71238
-110.756832,48,9526.093574
-133.866256,51,9532.538853
-154.894829,55,9538.154109
139.559801,71,9545.779843
159.134642,109,9558.014147
148.885618,69,9564.496578
139.132332,44,9569.850086
-155.65691,165,9598.661679
144.31088,69,9609.475203
136.557802,33,9616.184179
-118.885776,112,9639.676142
-136.252706,40,9657.039486
-139.456672,38,9664.98754
143.543609,49,9675.010637
-164.307615,28,9683.71841
-134.700209,32,9689.057274
-137.870501,25,9693.949769
-174.194342,27,9698.586615
162.583172,86,9714.131948
118.074874,189,9747.634225
-125.857814,92,9764.959006
-140.856105,18,9770.804386
-125.96224,210,9806.989027
132.497478,40,9814.088311
-127.6143,59,9832.247576
150.779954,56,9842.712157
-139.021668,37,9850.496803
-125.619414,81,9873.389922
149.516301,42,9880.664162
-126.916606,68,9898.006682
158.852955,69,9911.678493
-162.779171,84,9925.552566
-132.415871,21,9929.153548
-155.954773,39,9936.29653
144.38912,159,9963.796389
-133.359198,34,9970.11222
-120.099695,54,9980.697476
-129.541437,118,10011.749129
142.232696,45,10021.13486
154.698392,90,10036.638544
140.95981,46,10046.408244
133.863241,38,10054.749872
129.168603,32,10060.375745
-143.686036,41,10073.49104
149.583687,51,10082.251184
-146.404824,27,10086.810781
146.091712,51,10097.006834
-167.90509,17,10100.316642
143.96488,40,10107.567989
158.154902,55,10117.484625
-157.740561,31,10135.181153
-144.764931,29,10140.695446
161.79847,81,10156.528535
-96.162915,141,10178.388604
160.735772,51,10188.227693
-125.345928,79,10200.94751
133.192737,36,10207.261052
133.972917,32,10213.574308
170.762498,100,10236.180233
-172.562118,37,10244.356748
156.68205,58,10253.380608
137.506077,138,10276.033078
-133.651675,55,10290.085678
-158.859875,45,10305.625233
135.234582,38,10312.708603
145.207416,141,10341.24645
170.893167,60,10353.107815
-107.38101,45,10365.852015
174.424212,72,10379.715537
-127.568807,34,10387.216962
156.883362,99,10406.413661
132.553083,44,10414.868237
-119.557095,42,10425.761395
-130.275106,45,10436.348822
143.207815,38,10444.261747
145.703,42,10452.804136
-156.149468,33,10458.602577
-111.47895,49,10474.882547
136.25322,34,10481.274674
141.388354,39,10488.408736
-111.248277,111,10522.404392
139.362842,66,10535.255857
-134.09242,47,10557.990587
137.254667,39,10564.734841
139.357929,36,10570.854418
-151.345449,24,10587.355849
-103.133733,60,10602.673565
147.897611,53,10612.240587
-133.253631,44,10621.715442
-135.447003,37,10635.793595
161.229399,54,10646.517398
-160.897175,24,10652.646858
154.952504,51,10661.879032
-162.554896,114,10683.668748
145.905447,46,10692.167821
141.801318,49,10701.077274
147.282275,41,10708.502012
152.802709,51,10718.345948
129.268548,110,10739.051122
133.362374,41,10746.322088
-148.502209,35,10754.183379
-132.700095,64,10766.119945
162.731529,75,10779.712818
144.00225,52,10790.157981
134.705856,37,10798.169749
154.390498,121,10826.029088
139.874475,39,10833.541505
-120.569342,49,10846.377909
153.527276,49,10854.798303
-145.357674,53,10864.575007
146.570589,78,10880.160415
137.180981,33,10886.90532
137.442849,100,10904.758486
-154.688821,43,10912.523106
164.929254,90,10940.063143
138.693723,43,10948.025498
-106.882029,127,10971.214962
157.836129,66,10985.221352
-158.849397,60,10996.118706
-143.545116,34,11001.840504
-154.614554,26,11005.959754
-120.756072,160,11039.096444
-161.84407,29,11044.677581
141.811861,45,11053.264019
-144.193147,67,11068.58641
-148.486557,46,11077.304359
-118.893832,106,11102.279516
159.747501,93,11119.792031
-129.71412,37,11127.971413
-135.162877,51,11143.470346
163.89374,60,11155.922559
168.637572,83,11172.631278
154.940059,60,11183.699398
-138.884418,25,11188.083107
-137.307104,73,11205.092582
154.025742,50,11215.57449
134.093532,41,11222.9011
-158.597836,62,11243.947277
-167.927797,98,11257.797575
-135.168271,55,11268.408613
-91.400612,204,11302.513359
142.348792,47,11311.774996
-129.787349,112,11335.307602
128.004673,67,11347.06667
154.015199,107,11369.555553
-141.870206,67,11382.928005
-149.814803,58,11391.690237
-151.404355,76,11405.913982
-137.901676,104,11422.311691
-140.060929,62,11434.2088
-157.906714,24,11439.643815
135.08522,33,11446.014448
131.763125,39,11454.288726
154.133417,55,11464.610959
160.244807,53,11474.821856
144.652237,51,11485.129611
134.795428,49,11494.475379
133.237838,34,11501.486518
139.461083,40,11509.399394
-143.309466,59,11520.954051
-149.232049,95,11539.991251
-125.34399,68,11551.640025
-131.363937,60,11569.75842
150.446154,54,11581.386593
169.55065,95,11604.264802
151.847078,52,11613.715795
-184.110955,56,11623.565141
148.35082,57,11634.113163
152.238222,48,11643.126292
160.53202,113,11666.136765
-100.199164,182,11701.718675
155.738845,72,11718.311965
134.997373,38,11725.184106
-128.667226,36,11732.51156
-146.133617,29,11739.545421
-161.386342,36,11745.406388
-150.96654,33,11758.868808
-119.210138,69,11771.242739
147.730861,45,11780.850766
-148.659823,26,11784.84959
158.143989,57,11796.393944
177.24305,76,11810.178462
171.677113,87,11825.674097
-129.081431,35,11834.893187
174.176409,93,11854.370383
145.228093,39,11861.965984
171.793092,104,11885.276641
138.479873,77,11899.079758
148.875094,44,11907.312189
-115.6924,66,11920.272466
171.823087,66,11933.579036
153.326708,50,11943.257952
150.371755,50,11952.664284
-167.873706,29,11958.472408
136.974754,34,11964.996446
-129.584016,32,11970.649183
160.887314,102,11991.531989
159.663598,137,12014.219467
144.743407,46,12024.258922
137.933902,35,12030.657859
152.593714,51,12040.444639
-140.020694,33,12046.522878
-118.305413,50,12060.186524
-100.105529,109,12081.305586
-131.795183,44,12090.307015
-137.526744,22,12094.733894
179.516783,86,12110.250202
-154.397741,48,12124.78011
145.725353,106,12148.829953
-135.754853,114,12169.266297
161.035907,72,12185.769092
-132.422164,41,12198.723456
152.538696,50,12207.723938
139.580639,94,12224.437873
135.154426,47,12233.155042
147.178189,42,12240.622223
-124.305184,38,12251.03325
152.663633,55,12261.197278
141.55,59,12271.994386
159.764848,51,12283.362555
172.484763,94,12305.635068
148.97299,49,12314.212085
166.780376,56,12326.030421
-170.055369,20,12329.475465
135.87863,32,12335.30065
-144.813803,199,12369.194255
-120.548401,86,12389.68868
147.297828,50,12400.757337
-134.459287,44,12420.791921
138.27184,36,12426.968908
164.81237,55,12438.981641
151.364911,61,12450.143369
132.050214,33,12456.692786
135.541004,33,12463.084268
160.593702,62,12476.340862
-119.091191,34,12483.746213
138.036681,36,12491.231673
